key,data_str,decimals,precision,context_ref,element_name,unit,period_type,isTextBlock_flg,abstract_flg,period_start,period_end,instant_date,end_date_pv,instant_date_pv,scenario
jpdei_cor:NumberOfSubmissionDEI,1,0,,FilingDateInstant,NumberOfSubmissionDEI,pure,instant,0,0,,2024-06-25,2024-06-25,,2024-06-24,
jpcrp_cor:NetSalesSummaryOfBusinessResults,10859522000,-3,,Prior3YearDuration,NetSalesSummaryOfBusinessResults,JPY,duration,0,0,2020-04-01,2021-04-01,,2021-03-31,,
jpcrp_cor:NetSalesSummaryOfBusinessResults,14165059000,-3,,Prior2YearDuration,NetSalesSummaryOfBusinessResults,JPY,duration,0,0,2021-04-01,2022-04-01,,2022-03-31,,
jpcrp_cor:NetSalesSummaryOfBusinessResults,17865650000,-3,,Prior1YearDuration,NetSalesSummaryOfBusinessResults,JPY,duration,0,0,2022-04-01,2023-04-01,,2023-03-31,,
jpcrp_cor:NetSalesSummaryOfBusinessResults,19162919000,-3,,CurrentYearDuration,NetSalesSummaryOfBusinessResults,JPY,duration,0,0,2023-04-01,2024-04-01,,2024-03-31,,
jpcrp_cor:OrdinaryIncomeLossSummaryOfBusinessResults,578177000,-3,,Prior3YearDuration,OrdinaryIncomeLossSummaryOfBusinessResults,JPY,duration,0,0,2020-04-01,2021-04-01,,2021-03-31,,
jpcrp_cor:OrdinaryIncomeLossSummaryOfBusinessResults,1322512000,-3,,Prior2YearDuration,OrdinaryIncomeLossSummaryOfBusinessResults,JPY,duration,0,0,2021-04-01,2022-04-01,,2022-03-31,,
jpcrp_cor:OrdinaryIncomeLossSummaryOfBusinessResults,1620612000,-3,,Prior1YearDuration,OrdinaryIncomeLossSummaryOfBusinessResults,JPY,duration,0,0,2022-04-01,2023-04-01,,2023-03-31,,
jpcrp_cor:OrdinaryIncomeLossSummaryOfBusinessResults,1401636000,-3,,CurrentYearDuration,OrdinaryIncomeLossSummaryOfBusinessResults,JPY,duration,0,0,2023-04-01,2024-04-01,,2024-03-31,,
jpcrp_cor:ProfitLossAttributableToOwnersOfParentSummaryOfBusinessResults,268579000,-3,,Prior3YearDuration,ProfitLossAttributableToOwnersOfParentSummaryOfBusinessResults,JPY,duration,0,0,2020-04-01,2021-04-01,,2021-03-31,,
jpcrp_cor:ProfitLossAttributableToOwnersOfParentSummaryOfBusinessResults,939053000,-3,,Prior2YearDuration,ProfitLossAttributableToOwnersOfParentSummaryOfBusinessResults,JPY,duration,0,0,2021-04-01,2022-04-01,,2022-03-31,,
jpcrp_cor:ProfitLossAttributableToOwnersOfParentSummaryOfBusinessResults,1058878000,-3,,Prior1YearDuration,ProfitLossAttributableToOwnersOfParentSummaryOfBusinessResults,JPY,duration,0,0,2022-04-01,2023-04-01,,2023-03-31,,
