key,data_str,decimals,precision,context_ref,element_name,unit,period_type,isTextBlock_flg,abstract_flg,period_start,period_end,instant_date,end_date_pv,instant_date_pv,scenario
jpdei_cor:NumberOfSubmissionDEI,1,0,,FilingDateInstant,NumberOfSubmissionDEI,pure,instant,0,0,,2024-06-25,2024-06-25,,2024-06-24,
jpcrp_cor:NetSalesSummaryOfBusinessResults,33965000000,-6,,Prior5YearDuration,NetSalesSummaryOfBusinessResults,JPY,duration,0,0,2018-07-01,2019-07-01,,2019-06-30,,
jpcrp_cor:NetSalesSummaryOfBusinessResults,37739000000,-6,,Prior4YearDuration,NetSalesSummaryOfBusinessResults,JPY,duration,0,0,2019-07-01,2020-07-01,,2020-06-30,,
jpcrp_cor:NetSalesSummaryOfBusinessResults,40205000000,-6,,Prior3YearDuration,NetSalesSummaryOfBusinessResults,JPY,duration,0,0,2020-07-01,2021-07-01,,2021-06-30,,
jpcrp_cor:NetSalesSummaryOfBusinessResults,30395000000,-6,,Prior2YearDuration,NetSalesSummaryOfBusinessResults,JPY,duration,0,0,2021-07-01,2022-04-01,,2022-03-31,,
jpcrp_cor:NetSalesSummaryOfBusinessResults,44574000000,-6,,Prior1YearDuration,NetSalesSummaryOfBusinessResults,JPY,duration,0,0,2022-04-01,2023-04-01,,2023-03-31,,
jpcrp_cor:NetSalesSummaryOfBusinessResults,54829000000,-6,,CurrentYearDuration,NetSalesSummaryOfBusinessResults,JPY,duration,0,0,2023-04-01,2024-04-01,,2024-03-31,,
jpcrp_cor:OrdinaryIncomeLossSummaryOfBusinessResults,723000000,-6,,Prior5YearDuration,OrdinaryIncomeLossSummaryOfBusinessResults,JPY,duration,0,0,2018-07-01,2019-07-01,,2019-06-30,,
jpcrp_cor:OrdinaryIncomeLossSummaryOfBusinessResults,1125000000,-6,,Prior4YearDuration,OrdinaryIncomeLossSummaryOfBusinessResults,JPY,duration,0,0,2019-07-01,2020-07-01,,2020-06-30,,
jpcrp_cor:OrdinaryIncomeLossSummaryOfBusinessResults,1687000000,-6,,Prior3YearDuration,OrdinaryIncomeLossSummaryOfBusinessResults,JPY,duration,0,0,2020-07-01,2021-07-01,,2021-06-30,,
jpcrp_cor:OrdinaryIncomeLossSummaryOfBusinessResults,1142000000,-6,,Prior2YearDuration,OrdinaryIncomeLossSummaryOfBusinessResults,JPY,duration,0,0,2021-07-01,2022-04-01,,2022-03-31,,
jpcrp_cor:OrdinaryIncomeLossSummaryOfBusinessResults,1807000000,-6,,Prior1YearDuration,OrdinaryIncomeLossSummaryOfBusinessResults,JPY,duration,0,0,2022-04-01,2023-04-01,,2023-03-31,,
jpcrp_cor:OrdinaryIncomeLossSummaryOfBusinessResults,3490000000,-6,,CurrentYearDuration,OrdinaryIncomeLossSummaryOfBusinessResults,JPY,duration,0,0,2023-04-01,2024-04-01,,2024-03-31,,
jpcrp_cor:ProfitLossAttributableToOwnersOfParentSummaryOfBusinessResults,368000000,-6,,Prior5YearDuration,ProfitLossAttributableToOwnersOfParentSummaryOfBusinessResults,JPY,duration,0,0,2018-07-01,2019-07-01,,2019-06-30,,
jpcrp_cor:ProfitLossAttributableToOwnersOfParentSummaryOfBusinessResults,643000000,-6,,Prior4YearDuration,ProfitLossAttributableToOwnersOfParentSummaryOfBusinessResults,JPY,duration,0,0,2019-07-01,2020-07-01,,2020-06-30,,
