key,data_str,decimals,precision,context_ref,element_name,unit,period_type,isTextBlock_flg,abstract_flg,period_start,period_end,instant_date,end_date_pv,instant_date_pv,scenario
jpdei_cor:NumberOfSubmissionDEI,1,0,,FilingDateInstant,NumberOfSubmissionDEI,pure,instant,0,0,,2024-06-25,2024-06-25,,2024-06-24,
jpcrp_cor:NetSalesSummaryOfBusinessResults,52329618000,-3,,Prior4YearDuration,NetSalesSummaryOfBusinessResults,JPY,duration,0,0,2019-04-01,2020-04-01,,2020-03-31,,
jpcrp_cor:NetSalesSummaryOfBusinessResults,49684501000,-3,,Prior3YearDuration,NetSalesSummaryOfBusinessResults,JPY,duration,0,0,2020-04-01,2021-04-01,,2021-03-31,,
jpcrp_cor:NetSalesSummaryOfBusinessResults,52658574000,-3,,Prior2YearDuration,NetSalesSummaryOfBusinessResults,JPY,duration,0,0,2021-04-01,2022-04-01,,2022-03-31,,
jpcrp_cor:NetSalesSummaryOfBusinessResults,55698315000,-3,,Prior1YearDuration,NetSalesSummaryOfBusinessResults,JPY,duration,0,0,2022-04-01,2023-04-01,,2023-03-31,,
jpcrp_cor:NetSalesSummaryOfBusinessResults,59981459000,-3,,CurrentYearDuration,NetSalesSummaryOfBusinessResults,JPY,duration,0,0,2023-04-01,2024-04-01,,2024-03-31,,
jpcrp_cor:OrdinaryIncomeLossSummaryOfBusinessResults,11908091000,-3,,Prior4YearDuration,OrdinaryIncomeLossSummaryOfBusinessResults,JPY,duration,0,0,2019-04-01,2020-04-01,,2020-03-31,,
jpcrp_cor:OrdinaryIncomeLossSummaryOfBusinessResults,10675067000,-3,,Prior3YearDuration,OrdinaryIncomeLossSummaryOfBusinessResults,JPY,duration,0,0,2020-04-01,2021-04-01,,2021-03-31,,
jpcrp_cor:OrdinaryIncomeLossSummaryOfBusinessResults,11340140000,-3,,Prior2YearDuration,OrdinaryIncomeLossSummaryOfBusinessResults,JPY,duration,0,0,2021-04-01,2022-04-01,,2022-03-31,,
jpcrp_cor:OrdinaryIncomeLossSummaryOfBusinessResults,9270800000,-3,,Prior1YearDuration,OrdinaryIncomeLossSummaryOfBusinessResults,JPY,duration,0,0,2022-04-01,2023-04-01,,2023-03-31,,
jpcrp_cor:OrdinaryIncomeLossSummaryOfBusinessResults,10712052000,-3,,CurrentYearDuration,OrdinaryIncomeLossSummaryOfBusinessResults,JPY,duration,0,0,2023-04-01,2024-04-01,,2024-03-31,,
jpcrp_cor:ProfitLossAttributableToOwnersOfParentSummaryOfBusinessResults,8375660000,-3,,Prior4YearDuration,ProfitLossAttributableToOwnersOfParentSummaryOfBusinessResults,JPY,duration,0,0,2019-04-01,2020-04-01,,2020-03-31,,
jpcrp_cor:ProfitLossAttributableToOwnersOfParentSummaryOfBusinessResults,7277314000,-3,,Prior3YearDuration,ProfitLossAttributableToOwnersOfParentSummaryOfBusinessResults,JPY,duration,0,0,2020-04-01,2021-04-01,,2021-03-31,,
jpcrp_cor:ProfitLossAttributableToOwnersOfParentSummaryOfBusinessResults,7708760000,-3,,Prior2YearDuration,ProfitLossAttributableToOwnersOfParentSummaryOfBusinessResults,JPY,duration,0,0,2021-04-01,2022-04-01,,2022-03-31,,
jpcrp_cor:ProfitLossAttributableToOwnersOfParentSummaryOfBusinessResults,6385023000,-3,,Prior1YearDuration,ProfitLossAttributableToOwnersOfParentSummaryOfBusinessResults,JPY,duration,0,0,2022-04-01,2023-04-01,,2023-03-31,,
jpcrp_cor:ProfitLossAttributableToOwnersOfParentSummaryOfBusinessResults,7353170000,-3,,CurrentYearDuration,ProfitLossAttributableToOwnersOfParentSummaryOfBusinessResults,JPY,duration,0,0,2023-04-01,2024-04-01,,2024-03-31,,
jpcrp_cor:ComprehensiveIncomeSummaryOfBusinessResults,6991297000,-3,,Prior4YearDuration,ComprehensiveIncomeSummaryOfBusinessResults,JPY,duration,0,0,2019-04-01,2020-04-01,,2020-03-31,,
jpcrp_cor:ComprehensiveIncomeSummaryOfBusinessResults,7906472000,-3,,Prior3YearDuration,ComprehensiveIncomeSummaryOfBusinessResults,JPY,duration,0,0,2020-04-01,2021-04-01,,2021-03-31,,
jpcrp_cor:ComprehensiveIncomeSummaryOfBusinessResults,9758770000,-3,,Prior2YearDuration,ComprehensiveIncomeSummaryOfBusinessResults,JPY,duration,0,0,2021-04-01,2022-04-01,,2022-03-31,,
jpcrp_cor:ComprehensiveIncomeSummaryOfBusinessResults,8489808000,-3,,Prior1YearDuration,ComprehensiveIncomeSummaryOfBusinessResults,JPY,duration,0,0,2022-04-01,2023-04-01,,2023-03-31,,
jpcrp_cor:ComprehensiveIncomeSummaryOfBusinessResults,11809542000,-3,,CurrentYearDuration,ComprehensiveIncomeSummaryOfBusinessResults,JPY,duration,0,0,2023-04-01,2024-04-01,,2024-03-31,,
jpcrp_cor:NetAssetsSummaryOfBusinessResults,93432852000,-3,,Prior4YearInstant,NetAssetsSummaryOfBusinessResults,JPY,instant,0,0,,2020-04-01,2020-04-01,,2020-03-31,
jpcrp_cor:NetAssetsSummaryOfBusinessResults,98867595000,-3,,Prior3YearInstant,NetAssetsSummaryOfBusinessResults,JPY,instant,0,0,,2021-04-01,2021-04-01,,2021-03-31,
jpcrp_cor:NetAssetsSummaryOfBusinessResults,106338971000,-3,,Prior2YearInstant,NetAssetsSummaryOfBusinessResults,JPY,instant,0,0,,2022-04-01,2022-04-01,,2022-03-31,
jpcrp_cor:NetAssetsSummaryOfBusinessResults,111743316000,-3,,Prior1YearInstant,NetAssetsSummaryOfBusinessResults,JPY,instant,0,0,,2023-04-01,2023-04-01,,2023-03-31,
jpcrp_cor:NetAssetsSummaryOfBusinessResults,120279238000,-3,,CurrentYearInstant,NetAssetsSummaryOfBusinessResults,JPY,instant,0,0,,2024-04-01,2024-04-01,,2024-03-31,
jpcrp_cor:TotalAssetsSummaryOfBusinessResults,104489877000,-3,,Prior4YearInstant,TotalAssetsSummaryOfBusinessResults,JPY,instant,0,0,,2020-04-01,2020-04-01,,2020-03-31,
jpcrp_cor:TotalAssetsSummaryOfBusinessResults,111681238000,-3,,Prior3YearInstant,TotalAssetsSummaryOfBusinessResults,JPY,instant,0,0,,2021-04-01,2021-04-01,,2021-03-31,
jpcrp_cor:TotalAssetsSummaryOfBusinessResults,119964026000,-3,,Prior2YearInstant,TotalAssetsSummaryOfBusinessResults,JPY,instant,0,0,,2022-04-01,2022-04-01,,2022-03-31,
